record_id,bldg_typ, improv_typ, use_desc, records, building_type_id,building_type_name
1,BARN,COMMERCIAL,Barn <Obsolete>,7,1,agriculture
2,BARNHOG,COMMERCIAL,Hog Barn <Obsolete>,1,1,agriculture
3,BARNSHP,COMMERCIAL,Sheep Barn,1,1,agriculture
4,FARMIMP,COMMERCIAL,Farm Implement Building,1,1,agriculture
5,FMIMPSHD,COMMERCIAL,Farm Implement Shed,1,1,agriculture
6,FMUTSHD,COMMERCIAL,Farm Utility Storage Shed,1,1,agriculture
7,MILKHS,COMMERCIAL,Milkhouse,1,1,agriculture
8,SUNSHLTR,COMMERCIAL,Farm Sun Shade Shelter,1,1,agriculture
9,ARMORY,COMMERCIAL,Armory,2,2,civic
10,AUDITORM,COMMERCIAL,Auditorium,4,2,civic
11,CHURCH,COMMERCIAL,Church,191,2,civic
12,COMMCTR,COMMERCIAL,Community Center,25,2,civic
13,CONVENTN,COMMERCIAL,Convention Center,3,2,civic
14,FIELDHS,COMMERCIAL,Fieldhouse,2,2,civic
15,FLWSHP,COMMERCIAL,Fellowship Hall,7,2,civic
16,FRATRNL,COMMERCIAL,Fraternal Building,11,2,civic
17,LIBRARY,COMMERCIAL,"Library, Public",12,2,civic
18,LODGE,COMMERCIAL,Lodge,23,2,civic
19,MUSEUM,COMMERCIAL,Museum,3,2,civic
20,RECTORY,COMMERCIAL,Rectory,4,2,civic
21,SUNDSCHL,COMMERCIAL,Church w/ Sunday School,21,2,civic
22,VISITOR,COMMERCIAL,Visitor Center,1,2,civic
23,ANCHOR,COMMERCIAL,Mall Anchor Department Store,73,3,commercial
24,AUTOSERV,COMMERCIAL,Automotive Center,77,3,commercial
25,AUTOSHOW,COMMERCIAL,Automobile Showroom,24,3,commercial
26,BANK,COMMERCIAL,Bank,78,3,commercial
27,BKSTRSCH,COMMERCIAL,Bookstore <School>,2,3,commercial
28,BOWL,COMMERCIAL,Bowling Center,6,3,commercial
29,CAFETRIA,COMMERCIAL,Cafeteria,3,3,commercial
30,CARWASH,COMMERCIAL,Car Wash - Automatic,13,3,commercial
31,CASINO,COMMERCIAL,Casino,1,3,commercial
32,COMBLDG,COMMERCIAL,Commercial Building,18,3,commercial
33,COMPAUTO,COMMERCIAL,"Auto Dealership, Complete",16,3,commercial
34,COMSHOP,COMMERCIAL,Community Shopping Center,38,3,commercial
35,CONVMRKT,COMMERCIAL,Convenience Market,117,3,commercial
