year,income_min,income_max,persons_min,persons_max,workers_min,workers_max,total_number_of_households,subreg_id
2025,0,-1,1,1,0,-1,5839,1
2030,0,-1,1,1,0,-1,6030,1
2035,0,-1,1,1,0,-1,6220,1
2040,0,-1,1,1,0,-1,6411,1
2044,0,-1,1,1,0,-1,6564,1
2050,0,-1,1,1,0,-1,6703,1
2025,0,-1,2,2,0,-1,10451,1
2030,0,-1,2,2,0,-1,10792,1
2035,0,-1,2,2,0,-1,11135,1
2040,0,-1,2,2,0,-1,11476,1
2044,0,-1,2,2,0,-1,11751,1
2050,0,-1,2,2,0,-1,11996,1
2025,0,-1,3,3,0,-1,6539,1
2030,0,-1,3,3,0,-1,6694,1
2035,0,-1,3,3,0,-1,6852,1
2040,0,-1,3,3,0,-1,7008,1
2044,0,-1,3,3,0,-1,7131,1
2050,0,-1,3,3,0,-1,7303,1
2025,0,-1,4,4,0,-1,6423,1
2030,0,-1,4,4,0,-1,6579,1
2035,0,-1,4,4,0,-1,6731,1
2040,0,-1,4,4,0,-1,6885,1
2044,0,-1,4,4,0,-1,7007,1
2050,0,-1,4,4,0,-1,7174,1
2025,0,-1,5,5,0,-1,1930,1
2030,0,-1,5,5,0,-1,1978,1
2035,0,-1,5,5,0,-1,2023,1
2040,0,-1,5,5,0,-1,2070,1
2044,0,-1,5,5,0,-1,2108,1
2050,0,-1,5,5,0,-1,2157,1
2025,0,-1,6,6,0,-1,711,1
2030,0,-1,6,6,0,-1,727,1
2035,0,-1,6,6,0,-1,744,1
2040,0,-1,6,6,0,-1,762,1
2044,0,-1,6,6,0,-1,775,1
2050,0,-1,6,6,0,-1,793,1
2025,0,-1,7,-1,0,-1,218,1
2030,0,-1,7,-1,0,-1,223,1
2035,0,-1,7,-1,0,-1,229,1
2040,0,-1,7,-1,0,-1,233,1
2044,0,-1,7,-1,0,-1,238,1
2050,0,-1,7,-1,0,-1,244,1
2025,0,-1,1,1,0,-1,25324,2
2030,0,-1,1,1,0,-1,26289,2
2035,0,-1,1,1,0,-1,27255,2
2040,0,-1,1,1,0,-1,28221,2
2044,0,-1,1,1,0,-1,28990,2
2050,0,-1,1,1,0,-1,29798,2
2025,0,-1,2,2,0,-1,33428,2
2030,0,-1,2,2,0,-1,34703,2
2035,0,-1,2,2,0,-1,35976,2
2040,0,-1,2,2,0,-1,37250,2
2044,0,-1,2,2,0,-1,38271,2
2050,0,-1,2,2,0,-1,39337,2
2025,0,-1,3,3,0,-1,14205,2
2030,0,-1,3,3,0,-1,14469,2
2035,0,-1,3,3,0,-1,14730,2
2040,0,-1,3,3,0,-1,14993,2
2044,0,-1,3,3,0,-1,15204,2
2050,0,-1,3,3,0,-1,15611,2
2025,0,-1,4,4,0,-1,12527,2
2030,0,-1,4,4,0,-1,12757,2
2035,0,-1,4,4,0,-1,12988,2
2040,0,-1,4,4,0,-1,13220,2
2044,0,-1,4,4,0,-1,13406,2
2050,0,-1,4,4,0,-1,13764,2
2025,0,-1,5,5,0,-1,3587,2
2030,0,-1,5,5,0,-1,3655,2
2035,0,-1,5,5,0,-1,3722,2
2040,0,-1,5,5,0,-1,3789,2
2044,0,-1,5,5,0,-1,3841,2
2050,0,-1,5,5,0,-1,3945,2
2025,0,-1,6,6,0,-1,1156,2
2030,0,-1,6,6,0,-1,1177,2
2035,0,-1,6,6,0,-1,1199,2
2040,0,-1,6,6,0,-1,1220,2
2044,0,-1,6,6,0,-1,1238,2
2050,0,-1,6,6,0,-1,1270,2
2025,0,-1,7,-1,0,-1,488,2
2030,0,-1,7,-1,0,-1,496,2
2035,0,-1,7,-1,0,-1,506,2
2040,0,-1,7,-1,0,-1,514,2
2044,0,-1,7,-1,0,-1,521,2
2050,0,-1,7,-1,0,-1,537,2
2025,0,-1,1,1,0,-1,4490,3
2030,0,-1,1,1,0,-1,4899,3
2035,0,-1,1,1,0,-1,5310,3
2040,0,-1,1,1,0,-1,5723,3
2044,0,-1,1,1,0,-1,6050,3
2050,0,-1,1,1,0,-1,6468,3
2025,0,-1,2,2,0,-1,5677,3
2030,0,-1,2,2,0,-1,6197,3
2035,0,-1,2,2,0,-1,6719,3
2040,0,-1,2,2,0,-1,7238,3
2044,0,-1,2,2,0,-1,7653,3
2050,0,-1,2,2,0,-1,8181,3
2025,0,-1,3,3,0,-1,3573,3
2030,0,-1,3,3,0,-1,3723,3
2035,0,-1,3,3,0,-1,3870,3
2040,0,-1,3,3,0,-1,4018,3
2044,0,-1,3,3,0,-1,4140,3
2050,0,-1,3,3,0,-1,4299,3
2025,0,-1,4,4,0,-1,3078,3
2030,0,-1,4,4,0,-1,3208,3
2035,0,-1,4,4,0,-1,3335,3
2040,0,-1,4,4,0,-1,3463,3
2044,0,-1,4,4,0,-1,3566,3
2050,0,-1,4,4,0,-1,3704,3
2025,0,-1,5,5,0,-1,1736,3
2030,0,-1,5,5,0,-1,1807,3
2035,0,-1,5,5,0,-1,1879,3
2040,0,-1,5,5,0,-1,1953,3
2044,0,-1,5,5,0,-1,2011,3
2050,0,-1,5,5,0,-1,2089,3
2025,0,-1,6,6,0,-1,806,3
2030,0,-1,6,6,0,-1,841,3
2035,0,-1,6,6,0,-1,873,3
2040,0,-1,6,6,0,-1,906,3
2044,0,-1,6,6,0,-1,932,3
2050,0,-1,6,6,0,-1,969,3
2025,0,-1,7,-1,0,-1,477,3
2030,0,-1,7,-1,0,-1,495,3
2035,0,-1,7,-1,0,-1,517,3
2040,0,-1,7,-1,0,-1,536,3
2044,0,-1,7,-1,0,-1,551,3
2050,0,-1,7,-1,0,-1,571,3
2025,0,-1,1,1,0,-1,2358,4
2030,0,-1,1,1,0,-1,2565,4
2035,0,-1,1,1,0,-1,2774,4
2040,0,-1,1,1,0,-1,2983,4
2044,0,-1,1,1,0,-1,3149,4
2050,0,-1,1,1,0,-1,3317,4
2025,0,-1,2,2,0,-1,2793,4
2030,0,-1,2,2,0,-1,3041,4
2035,0,-1,2,2,0,-1,3287,4
2040,0,-1,2,2,0,-1,3535,4
2044,0,-1,2,2,0,-1,3732,4
2050,0,-1,2,2,0,-1,3930,4
2025,0,-1,3,3,0,-1,1465,4
2030,0,-1,3,3,0,-1,1527,4
2035,0,-1,3,3,0,-1,1588,4
2040,0,-1,3,3,0,-1,1647,4
2044,0,-1,3,3,0,-1,1695,4
2050,0,-1,3,3,0,-1,1766,4
2025,0,-1,4,4,0,-1,1386,4
2030,0,-1,4,4,0,-1,1444,4
2035,0,-1,4,4,0,-1,1501,4
2040,0,-1,4,4,0,-1,1559,4
2044,0,-1,4,4,0,-1,1606,4
2050,0,-1,4,4,0,-1,1671,4
2025,0,-1,5,5,0,-1,463,4
2030,0,-1,5,5,0,-1,482,4
2035,0,-1,5,5,0,-1,502,4
2040,0,-1,5,5,0,-1,521,4
2044,0,-1,5,5,0,-1,538,4
2050,0,-1,5,5,0,-1,559,4
2025,0,-1,6,6,0,-1,165,4
