census_2010_block_id,census_block_group_id,census_block_id,census_tract_id
530330292061011,1,1,110
530330292061016,1,2,110
530330292061017,1,3,110
530330292061015,1,4,110
530330292061019,1,5,110
530330292061063,1,6,110
530330292061064,1,7,110
530330283003029,2,8,322
530330297004057,3,9,254
530330305011121,4,10,163
530330305012001,5,11,163
530330305011120,4,12,163
530330305011014,4,13,163
530330305012000,5,14,163
530330305012002,5,15,163
530330305011116,4,16,163
530330305043000,6,17,161
530330305031004,7,18,162
530330305043005,6,19,161
530330305043007,6,20,161
530330305044006,8,21,161
530330305031003,7,22,162
530330305041001,9,23,161
530330305031020,7,24,162
530330305043004,6,25,161
530330305043002,6,26,161
530330305044007,8,27,161
530330305041000,9,28,161
530330305031019,7,29,162
530330305043001,6,30,161
530330305043008,6,31,161
530330286002001,10,32,318
530330286005026,11,33,318
530330286005014,11,34,318
530330260021006,12,35,289
530330261004029,13,36,48
530330262001007,14,37,47
530330261004028,13,38,48
530330261004014,13,39,48
530330260021005,12,40,289
530330261004012,13,41,48
530330261004025,13,42,48
530330264001005,15,43,45
530330263001001,16,44,46
530330264001012,15,45,45
530330263001000,16,46,46
530330264001008,15,47,45
530330264001028,15,48,45
530330264001029,15,49,45
530330264001025,15,50,45
530330264001013,15,51,45
530330100012028,17,52,58
530330104022002,18,53,60
530330104021008,19,54,60
530330109001010,20,55,137
530330109002087,21,56,137
530330104021011,19,57,60
530330104021001,19,58,60
530330110021004,22,59,59
530330110021012,22,60,59
530330109002060,21,61,137
530330109001014,20,62,137
530330104021033,19,63,60
530330109001015,20,64,137
530330109002089,21,65,137
530330104021000,19,66,60
530330109002078,21,67,137
530330104021023,19,68,60
530330109002081,21,69,137
530330093003169,23,70,192
530330093003168,23,71,192
530330291011035,24,72,112
530330291011021,24,73,112
530330291023002,25,74,111
530330291023004,25,75,111
530330291023005,25,76,111
530330291011018,24,77,112
530330291011022,24,78,112
530330305032015,26,79,162
530330305011032,4,80,163
530330305011021,4,81,163
530330305011003,4,82,163
530330086002002,27,83,235
530330081002019,28,84,240
530330081002012,28,85,240
530330086002000,27,86,235
530330262002004,29,87,47
530330262001015,14,88,47
530330262001166,14,89,47
530330262002005,29,90,47
530330262002010,29,91,47
530330262001190,14,92,47
530330262001024,14,93,47
530330262002007,29,94,47
530330262002003,29,95,47
530330262002001,29,96,47
530330262002011,29,97,47
530330262002000,29,98,47
530330272002034,30,99,14
530330262002002,29,100,47
530330272002010,30,101,14
530330262001017,14,102,47
530330262002006,29,103,47
530330262004007,31,104,47
530330262004008,31,105,47
