blockgroup_geoid,industry_id,number_of_jobs
5.3033E+11,12,1
5.3033E+11,13,37
5.3033E+11,12,24
5.3033E+11,12,7
5.3033E+11,12,2
5.3033E+11,12,114
5.3033E+11,13,105
5.3033E+11,12,29
5.3033E+11,12,8
5.3033E+11,13,113
5.3033E+11,12,72
5.3033E+11,13,2
5.3033E+11,12,19
5.3033E+11,13,42
5.3033E+11,13,105
5.3033E+11,12,156
5.3033E+11,13,175
5.3033E+11,12,132
5.3033E+11,12,1952
5.3033E+11,12,18
5.3033E+11,13,52
5.3033E+11,12,26
5.3033E+11,13,116
5.3033E+11,12,29
5.3033E+11,13,151
5.3033E+11,12,3
5.3033E+11,12,167
5.3033E+11,13,27
5.3033E+11,12,21
5.3033E+11,12,242
5.3033E+11,12,400
5.3033E+11,13,48
5.3033E+11,13,141
5.3033E+11,12,15
5.3033E+11,12,1
5.3033E+11,13,146
5.3033E+11,13,63
5.3033E+11,12,58
5.3033E+11,13,560
5.3033E+11,13,58
5.3033E+11,12,14
5.3033E+11,13,43
5.3033E+11,13,117
5.3033E+11,12,52
5.3033E+11,12,11
5.3033E+11,13,187
5.3033E+11,12,71
5.3033E+11,13,53
5.3033E+11,12,13
5.3033E+11,12,17
5.3033E+11,12,2
5.3033E+11,13,48
5.3033E+11,13,57
5.3033E+11,13,75
5.3033E+11,12,5
5.3033E+11,12,277
5.3033E+11,12,22
5.3033E+11,12,16
5.3033E+11,12,13
5.3033E+11,13,48
5.3033E+11,13,37
5.3033E+11,13,87
5.3033E+11,12,30
5.3033E+11,13,186
5.3033E+11,13,59
5.3033E+11,12,1
5.3033E+11,13,68
5.3033E+11,12,1
5.3033E+11,12,10
5.3033E+11,12,13
5.3033E+11,13,31
5.3033E+11,12,16
5.3033E+11,13,113
5.3033E+11,13,53
5.3033E+11,12,849
5.3033E+11,12,10
5.3033E+11,13,49
5.3033E+11,13,45
5.3033E+11,12,21
5.3033E+11,12,16
5.3033E+11,13,54
5.3033E+11,12,23
5.3033E+11,12,33
5.3033E+11,12,11
5.3033E+11,13,63
5.3033E+11,12,42
5.3033E+11,12,3
5.3033E+11,12,4
5.3033E+11,12,38
5.3033E+11,12,139
5.3033E+11,12,64
5.3033E+11,12,15
5.3033E+11,13,70
5.3033E+11,12,5
5.3033E+11,12,89
5.3033E+11,13,158
5.3033E+11,13,97
5.3033E+11,13,63
5.3033E+11,13,29521
5.3033E+11,12,59
5.3033E+11,12,1
5.3033E+11,12,332
5.3033E+11,12,34
5.3033E+11,12,9
5.3033E+11,12,1
5.3033E+11,12,84
5.3033E+11,12,35
5.3033E+11,13,54
5.3033E+11,13,47
5.3033E+11,12,26
5.3033E+11,13,57
5.3033E+11,12,179
5.3033E+11,12,67
5.3033E+11,12,65
5.3033E+11,12,14
5.3033E+11,13,59
5.3033E+11,12,1
5.3033E+11,13,53
5.3033E+11,12,1
5.3033E+11,12,57
5.3033E+11,13,78
5.3033E+11,12,40
5.3033E+11,12,13
5.3033E+11,13,36
5.3033E+11,12,15
5.3033E+11,13,33
5.3033E+11,13,39
5.3033E+11,12,17
5.3033E+11,13,78
5.3033E+11,12,30
5.3033E+11,12,3
