'block_id','sector_id','number_of_jobs'
' 53033001400301','14',9.00
' 53033001400301','17',4.00
' 53033001900100','11',1.00
' 53033001900100','14',5.00
' 53033001900101','16',3.00
' 53033001900101','18',8.00
' 53033002700402','17',10.00
' 53033002700402','2',2.00
' 53033002700402','6',1.00
' 53033002700402','7',2.00
' 53033003200301','17',2.00
' 53033003200301','2',1.00
' 53033003200301','3',8.00
' 53033003200301','8',1.00
' 53033003200401','14',3.00
' 53033003300101','7',1.00
' 53033003400201','14',34.00
' 53033003400301','14',1.00
' 53033003600202','11',2.00
' 53033003600202','12',2.00
' 53033003600202','13',6.00
' 53033003600202','14',3.00
' 53033003600202','17',6.00
' 53033003600202','7',23.00
' 53033003600400','13',1.00
' 53033003600400','14',1.00
' 53033003600400','17',2.00
' 53033003600400','7',1.00
' 53033004000100','16',65.00
' 53033004000100','6',1.00
' 53033004100100','13',2.00
' 53033004100100','16',7.00
' 53033004100401','11',2.00
' 53033004100401','16',550.00
' 53033004200100','13',1.00
' 53033004200100','18',2.00
' 53033004200201','17',1.00
' 53033004200201','7',8.00
' 53033004400201','12',4.00
' 53033004400201','16',12.00
' 53033004400201','7',3.00
' 53033004600100','15',1.00
' 53033004700100','3',1.00
' 53033004700100','7',11.00
' 53033004700201','13',25.00
' 53033004700201','14',3.00
' 53033004700201','17',6.00
' 53033004700201','2',2.00
' 53033004700201','3',2.00
' 53033004700201','7',6.00
' 53033004700205','14',1.00
' 53033004700205','7',2.00
' 53033004700403','3',3.00
' 53033004900202','11',199.00
' 53033004900202','12',5.00
' 53033004900202','14',4.00
' 53033004900202','16',2.00
' 53033004900202','3',114.00
' 53033005000201','12',1.00
' 53033005000201','13',32.00
' 53033005000201','17',4.00
' 53033005000201','2',12.00
' 53033005000201','6',1.00
' 53033005200303','2',3.00
' 53033005301100','14',7.00
' 53033005302100','17',3.00
' 53033005302200','11',1.00
' 53033005302200','12',5.00
' 53033005302200','13',4.00
' 53033005302200','15',3828.00
' 53033005302200','16',2.00
' 53033005302200','17',3.00
' 53033005302200','18',1.00
' 53033005302305','13',1.00
' 53033005400203','13',4.00
' 53033005400203','17',1.00
' 53033005400203','8',1.00
' 53033005700101','12',2.00
' 53033005700101','16',1.00
' 53033005801400','1',9.00
' 53033005801400','11',1.00
' 53033005801400','12',19.00
' 53033005801400','13',16.00
' 53033005801400','14',114.00
' 53033005801400','15',28.00
' 53033005801400','17',7.00
' 53033005801400','3',3.00
' 53033005801400','6',1.00
' 53033005801400','7',19.00
' 53033005801400','8',5.00
' 53033005801402','1',6.00
' 53033005801402','11',15.00
' 53033005801402','12',13.00
' 53033005801402','13',28.00
' 53033005801402','14',3.00
' 53033005801402','17',61.00
' 53033005801402','2',5.00
' 53033005801402','3',26.00
' 53033005801402','6',2.00
' 53033005801402','8',35.00
' 53033005802200','12',1.00
' 53033005802200','3',4.00
' 53033005802200','7',7.00
' 53033005802202','13',12.00
' 53033005802202','17',24.00
' 53033005900101','12',3.00
' 53033005900101','13',4.00
' 53033005900101','15',2.00
' 53033005900101','3',14.00
' 53033005900101','6',4.00
' 53033005900101','7',1.00
' 53033005900101','8',39.00
' 53033005900200','13',5.00
' 53033005900200','17',1.00
' 53033005900200','3',8.00
' 53033005900200','6',7.00
' 53033006000100','1',12.00
' 53033006000100','11',41.00
' 53033006000100','12',96.00
' 53033006000100','13',157.00
' 53033006000100','14',31.00
' 53033006000100','15',32.00
' 53033006000100','16',47.00
' 53033006000100','17',25.00
' 53033006000100','2',13.00
' 53033006000100','3',7.00
' 53033006000100','6',13.00
' 53033006000100','7',27.00
' 53033006000100','8',8.00
' 53033006000101','12',1.00
' 53033006000101','16',2.00
' 53033006000401','11',4.00
' 53033006000401','12',57.00
' 53033006000401','13',219.00
' 53033006000401','15',4.00
' 53033006000401','3',5.00
' 53033006000401','7',8.00
' 53033006000401','8',2.00
' 53033006000401','9',44.00
' 53033006100100','12',12.00
' 53033006100100','13',6.00
' 53033006100100','14',24.00
' 53033006100100','16',2.00
' 53033006100100','2',1.00
' 53033006100100','3',7.00
' 53033006100100','6',1.00
' 53033006100100','7',49.00
' 53033006200100','17',1.00
' 53033006200203','7',2.00
' 53033006300101','16',230.00
' 53033006300101','17',16.00
' 53033006300400','17',8.00
' 53033006300401','13',1.00
' 53033006300401','14',1.00
' 53033006300401','16',1.00
' 53033006300401','17',1.00
' 53033006700201','12',36.00
' 53033006700201','14',20.00
' 53033006700201','15',5.00
' 53033006700201','16',1.00
' 53033006700201','17',18.00
' 53033006700401','12',1.00
' 53033006700401','16',3.00
