census_2010_block_id,sector_id,number_of_jobs,census_block_id
530330001001002,3,2,7930
530330001001006,3,84,7922
530330001001006,7,11,7922
530330001001010,11,1,25643
530330001001011,7,3,27075
530330001001011,11,1,27075
530330001001012,9,0,27074
530330001001013,7,13,27073
530330001001013,9,2,27073
530330001001014,7,1,27076
530330001001015,2,6,7919
530330001001015,3,1,7919
530330001001015,5,2,7919
530330001001015,7,1,7919
530330001001015,8,1,7919
530330001001015,10,1,7919
530330001001015,11,1,7919
530330001001016,7,2,7920
530330001001016,11,1,7920
530330001001017,7,1,7921
530330001001018,7,6,7918
530330001001018,8,1,7918
530330001001018,11,1,7918
530330001001020,5,1,7915
530330001001020,7,4,7915
530330001001020,11,2,7915
530330001001021,3,1,7916
530330001001021,7,12,7916
530330001001021,9,1,7916
530330001001022,11,2,7917
530330001001024,2,7,18612
530330001001024,7,3,18612
530330001001025,2,8,18613
530330001001025,7,1,18613
530330001001026,7,1,18617
530330001001027,7,2,18618
530330001001027,11,1,18618
530330001002000,2,2,27071
530330001002000,9,2,27071
530330001002000,11,2,27071
530330001002001,4,15,24303
530330001002001,5,26,24303
530330001002001,7,8,24303
530330001002001,8,1,24303
530330001002001,10,28,24303
530330001002001,11,9,24303
530330001002002,7,2,9366
530330001002002,8,22,9366
530330001002002,9,0,9366
530330001002002,11,6,9366
530330001002003,7,1,18614
530330001002004,4,1,27072
530330001002004,8,1,27072
530330001002004,9,17,27072
530330001002004,11,1,27072
530330001002005,2,3,18542
530330001002005,3,20,18542
530330001002005,4,5,18542
530330001002005,5,6,18542
530330001002005,7,10,18542
530330001002005,8,3,18542
530330001002005,9,1,18542
530330001002005,11,9,18542
530330001002006,2,6,16507
530330001002006,3,1,16507
530330001002006,4,13,16507
530330001002006,5,2,16507
530330001002006,7,150,16507
530330001002006,9,2,16507
530330001002006,11,2,16507
530330001002008,2,3,18544
530330001002008,5,1,18544
530330001002008,7,14,18544
530330001002008,8,1,18544
530330001002009,4,47,18543
530330001002010,7,0,18541
530330001002010,11,3,18541
530330001002011,2,2,18540
530330001002011,4,1,18540
530330001002011,5,1,18540
530330001002011,7,3,18540
530330001002011,8,1,18540
530330001002011,9,2,18540
530330001002012,7,4,18616
530330001002012,9,1,18616
530330001002012,11,5,18616
530330001003000,2,2,7914
530330001003000,5,1,7914
530330001003000,7,2,7914
530330001003000,9,7,7914
530330001003000,11,4,7914
530330001003001,7,3,7911
530330001003001,9,4,7911
530330001003001,11,1,7911
530330001003002,4,1,7910
530330001003002,5,273,7910
530330001003002,7,6,7910
530330001003002,9,1,7910
530330001003002,10,8,7910
530330001003002,11,14,7910
530330001003003,2,2,7908
530330001003003,3,1,7908
530330001003003,4,8,7908
530330001003003,7,32,7908
530330001003003,9,29,7908
530330001003003,10,5,7908
530330001003003,11,1,7908
530330001003003,12,7,7908
530330001003004,7,6,7912
530330001003004,8,19,7912
530330001003004,11,2,7912
530330001003005,2,8,7913
530330001003005,3,1,7913
530330001003005,4,2,7913
530330001003005,7,4,7913
530330001003005,9,0,7913
530330001003005,11,3,7913
530330001004000,2,7,24304
530330001004000,4,2,24304
530330001004000,5,8,24304
530330001004000,7,2,24304
530330001004000,8,1,24304
530330001004000,11,11,24304
530330001004001,2,3,8183
530330001004001,4,5,8183
530330001004001,7,6,8183
530330001004001,9,5,8183
530330001004001,11,3,8183
530330001004001,12,1,8183
530330001004002,1,2,24310
530330001004002,2,2,24310
530330001004002,4,7,24310
530330001004002,5,1,24310
530330001004002,7,6,24310
530330001004002,8,1,24310
530330001004002,9,1,24310
530330001004002,11,2,24310
530330001004003,2,3,24311
530330001004003,4,2,24311
530330001004003,7,3,24311
530330001004003,8,1,24311
530330001004003,9,4,24311
530330001004003,11,5,24311
530330001005000,2,57,7902
530330001005000,3,1,7902
530330001005000,5,110,7902
530330001005000,7,28,7902
530330001005001,7,2,7903
530330001005001,11,5,7903
530330001005002,7,3,7905
530330001005002,9,0,7905
530330001005003,2,17,7904
530330001005003,3,5,7904
530330001005003,4,1,7904
530330001005003,5,7,7904
530330001005003,10,14,7904
530330001005003,11,32,7904
530330001005004,2,2,7906
530330001005004,4,2,7906
530330001005004,5,27,7906
530330001005004,7,26,7906
530330001005004,8,2,7906
530330001005004,9,4,7906
530330001005004,10,25,7906
530330001005004,11,12,7906
530330001005005,2,2,7909
530330001005005,3,7,7909
530330001005005,4,9,7909
530330001005005,5,82,7909
530330001005005,7,26,7909
530330001005005,8,0,7909
530330001005005,9,13,7909
530330001005005,10,41,7909
530330001005005,11,10,7909
530330001005006,5,23,7907
530330001005006,7,16,7907
530330001005006,8,1,7907
530330001005006,10,52,7907
530330001005006,11,5,7907
530330001005006,12,30,7907
530330002001000,3,1,10212
530330002001000,7,2,10212
530330002001001,2,2,14444
530330002001001,7,1,14444
530330002001002,7,56,24305
530330002001004,7,2,24307
530330002001005,2,2,24308
530330002001005,7,3,24308
530330002001007,4,31,24309
530330002001007,7,2,24309
530330002001007,11,1,24309
530330002001008,2,4,18548
530330002001008,7,4,18548
530330002001008,9,2,18548
530330002001008,11,1,18548
530330002001009,11,2,22224
530330002001010,7,1,22223
530330002001011,9,0,22228
530330002001012,2,6,22226
530330002001013,9,1,22225
530330002001014,7,9,18547
530330002001015,2,7,22227
530330002001015,11,1,22227
530330002001017,7,1,18545
530330002001017,9,1,18545
