census_2010_block_id	census_block_group_id	census_block_id
530330292061011	1	1
530330292061016	1	2
530330292061017	1	3
530330292061015	1	4
530330292061019	1	5
530330292061063	1	6
530330292061064	1	7
530330283003029	2	8
530330297004057	3	9
530330305011121	4	10
530330305012001	5	11
530330305011120	4	12
530330305011014	4	13
530330305012000	5	14
530330305012002	5	15
530330305011116	4	16
530330305043000	6	17
530330305031004	7	18
530330305043005	6	19
530330305043007	6	20
530330305044006	8	21
530330305031003	7	22
530330305041001	9	23
530330305031020	7	24
530330305043004	6	25
530330305043002	6	26
530330305044007	8	27
530330305041000	9	28
530330305031019	7	29
530330305043001	6	30
530330305043008	6	31
530330286002001	10	32
530330286005026	11	33
530330286005014	11	34
530330260021006	12	35
530330261004029	13	36
530330262001007	14	37
530330261004028	13	38
530330261004014	13	39
530330260021005	12	40
530330261004012	13	41
530330261004025	13	42
530330264001005	15	43
530330263001001	16	44
530330264001012	15	45
530330263001000	16	46
530330264001008	15	47
530330264001028	15	48
530330264001029	15	49
530330264001025	15	50
530330264001013	15	51
530330100012028	17	52
530330104022002	18	53
530330104021008	19	54
530330109001010	20	55
530330109002087	21	56
530330104021011	19	57
530330104021001	19	58
530330110021004	22	59
530330110021012	22	60
530330109002060	21	61
530330109001014	20	62
530330104021033	19	63
530330109001015	20	64
530330109002089	21	65
530330104021000	19	66
530330109002078	21	67
530330104021023	19	68
530330109002081	21	69
530330093003169	23	70
530330093003168	23	71
530330291011035	24	72
530330291011021	24	73
530330291023002	25	74
530330291023004	25	75
530330291023005	25	76
530330291011018	24	77
530330291011022	24	78
530330305032015	26	79
530330305011032	4	80
530330305011021	4	81
530330305011003	4	82
530330086002002	27	83
530330081002019	28	84
530330081002012	28	85
530330086002000	27	86
530330262002004	29	87
530330262001015	14	88
530330262001166	14	89
530330262002005	29	90
530330262002010	29	91
530330262001190	14	92
530330262001024	14	93
530330262002007	29	94
530330262002003	29	95
530330262002001	29	96
530330262002011	29	97
530330262002000	29	98
530330272002034	30	99
530330262002002	29	100
530330272002010	30	101
530330262001017	14	102
530330262002006	29	103
530330262004007	31	104
530330262004008	31	105
530330262001164	14	106
530330262001086	14	107
530330262001163	14	108
530330262004006	31	109
530330262001117	14	110
530330262001118	14	111
530330117002011	32	112
530330117002012	32	113
530330264001031	15	114
530330263001016	16	115
530330263001007	16	116
530330263001022	16	117
530330263001010	16	118
530330117002029	32	119
530330095004003	33	120
530330100011000	34	121
530330100011001	34	122
530330095004005	33	123
530330095004018	33	124
530330095004006	33	125
530330095004017	33	126
530330095004004	33	127
530330095004019	33	128
530330261005001	35	129
530330261004019	13	130
530330263002024	36	131
530330305031002	7	132
530330305031001	7	133
530330305032005	26	134
530330305011009	4	135
530330305011013	4	136
530330305011012	4	137
530330305031000	7	138
530330305011007	4	139
530330305011011	4	140
530330305032022	26	141
530330305032004	26	142
530330297004016	3	143
530330297004009	3	144
530330297004015	3	145
530330297004014	3	146
530330297004043	3	147
530330297004049	3	148
530330297004008	3	149
530330305011017	4	150
530330305011119	4	151
530330109002012	21	152
530330110021009	22	153
530330110021011	22	154
530330110023012	37	155
530330110021013	22	156
530330110023014	37	157
530330110023010	37	158
530330292061143	1	159
530330292061080	1	160
530330292051002	38	161
530330292051007	38	162
530330292061133	1	163
530330292061116	1	164
530330292061137	1	165
530330292061097	1	166
530330313012020	39	167
530330313012021	39	168
530330297002001	40	169
530330297002000	40	170
530330297003042	41	171
530330297003045	41	172
530330297003053	41	173
530330297003058	41	174
530330297004005	3	175
530330297003063	41	176
530330297002005	40	177
530330297002007	40	178
530330297003048	41	179
530330297003041	41	180
530330297003055	41	181
530330297004003	3	182
530330297004000	3	183
530330297004001	3	184
530330297003051	41	185
530330297003046	41	186
530330297003052	41	187
530330297004022	3	188
530330297004017	3	189
530330297004050	3	190
530330104021015	19	191
530330262001091	14	192
530330262001170	14	193
530330262001090	14	194
530330262001087	14	195
530330262001171	14	196
530330262001173	14	197
530330262001169	14	198
530330262001082	14	199
530330093003158	23	200
530330093003157	23	201
530330323232000	42	202
530330312022005	43	203
530330289025001	44	204
530330297004037	3	205
530330315021000	45	206
530330315021014	45	207
530330315021227	45	208
530330104024006	46	209
530330245002000	47	210
530330245001014	48	211
530330245002029	47	212
530330245001016	48	213
530330245001020	48	214
530330116005000	49	215
530330116005001	49	216
530330116003005	50	217
530330116003006	50	218
530330116006022	51	219
530330116006030	51	220
530330116003000	50	221
530330116006028	51	222
