county,juris,industry,emp_all
33,Algona,1,0
33,Auburn,1,353
33,Bellevue,1,903
33,Black Diamond,1,51
33,Bothell,1,26
33,Burien,1,152
33,Carnation,1,6
33,Covington,1,0
33,Des Moines,1,125
33,Duvall,1,0
33,Enumclaw,1,166
33,Federal Way,1,316
33,Issaquah,1,290
33,Kenmore,1,111
33,Kent,1,610
33,Kirkland,1,574
33,Lake Forest Park,1,0
33,Maple Valley,1,82
33,Medina,1,0
33,Mercer Island,1,90
33,Newcastle,1,0
33,Normandy Park,1,0
33,North Bend,1,-99
33,Pacific,1,-99
33,Redmond,1,379
33,Renton,1,672
33,Sammamish,1,341
33,SeaTac,1,0
33,Seattle,1,4509
33,Shoreline,1,182
33,Snoqualmie,1,116
33,Tukwila,1,0
33,Unincorporated,1,5008
33,Woodinville,1,114
35,Bainbridge Island,1,186
35,Bremerton,1,98
35,Port Orchard,1,0
35,Poulsbo,1,73
35,Unincorporated,1,966
53,Auburn,1,0
53,Bonney Lake,1,0
53,Buckley,1,0
53,DuPont,1,-99
53,Eatonville,1,12
53,Edgewood,1,0
53,Fife,1,0
53,Gig Harbor,1,0
53,Lakewood,1,163
53,Milton,1,0
53,Orting,1,0
53,Pacific,1,0
53,Puyallup,1,139
53,Roy,1,-99
53,Ruston,1,0
53,South Prairie,1,0
53,Steilacoom,1,0
53,Sumner,1,75
53,Tacoma,1,832
53,Unincorporated,1,3056
53,University Place,1,0
53,Wilkeson,1,0
61,Arlington,1,365
61,Bothell,1,47
61,Brier,1,14
61,Darrington,1,32
61,Edmonds,1,99
61,Everett,1,-99
61,Gold Bar,1,22
61,Lake Stevens,1,82
61,Lynnwood,1,0
61,Marysville,1,171
61,Mill Creek,1,16
61,Monroe,1,110
61,Mountlake Terrace,1,0
61,Mukilteo,1,-99
61,Snohomish,1,72
61,Stanwood,1,38
61,Sultan,1,42
61,Unincorporated,1,3382
99,Region,1,26938
33,Algona,10,74
33,Auburn,10,2444
33,Bellevue,10,8703
33,Black Diamond,10,73
33,Bothell,10,1026
33,Burien,10,2048
33,Carnation,10,74
33,Clyde Hill,10,-99
33,Covington,10,987
33,Des Moines,10,1282
33,Duvall,10,254
33,Enumclaw,10,866
33,Federal Way,10,3584
33,Issaquah,10,2169
33,Kenmore,10,300
33,Kent,10,3774
33,Kirkland,10,3574
33,Lake Forest Park,10,223
33,Maple Valley,10,1025
33,Medina,10,-99
33,Mercer Island,10,501
33,Newcastle,10,279
33,Normandy Park,10,95
33,North Bend,10,528
33,Pacific,10,77
33,Redmond,10,4754
33,Renton,10,4248
