'faz_id','sector_id','home_based_jobs'
110.00,7,24.00
110.00,8,5.00
110.00,9,11.00
120.00,3,6.00
120.00,5,126.00
120.00,7,110.00
120.00,8,24.00
120.00,9,55.00
135.00,2,24.00
135.00,7,103.00
135.00,10,2.00
135.00,11,14.00
135.00,12,16.00
136.00,3,63.00
136.00,5,39.00
136.00,7,47.00
136.00,8,5.00
136.00,9,11.00
205.00,7,39.00
205.00,8,10.00
205.00,9,22.00
205.00,10,6.00
205.00,11,50.00
206.00,4,31.00
206.00,7,62.00
206.00,8,5.00
206.00,9,11.00
206.00,12,31.00
315.00,4,24.00
315.00,5,40.00
315.00,7,197.00
315.00,8,44.00
315.00,9,100.00
315.00,10,8.00
315.00,11,58.00
325.00,3,16.00
325.00,4,40.00
325.00,5,40.00
325.00,7,40.00
325.00,8,70.00
325.00,9,161.00
325.00,10,2.00
325.00,11,14.00
325.00,12,39.00
405.00,3,48.00
405.00,5,16.00
405.00,7,109.00
405.00,8,64.00
405.00,9,144.00
405.00,11,6.00
405.00,12,55.00
505.00,1,16.00
505.00,2,40.00
505.00,3,64.00
505.00,4,16.00
505.00,5,103.00
505.00,7,290.00
505.00,8,26.00
505.00,9,60.00
505.00,10,5.00
505.00,11,43.00
505.00,12,87.00
506.00,1,6.00
506.00,2,31.00
506.00,3,56.00
506.00,4,37.00
506.00,5,22.00
506.00,7,227.00
506.00,8,38.00
506.00,9,88.00
506.00,10,3.00
506.00,11,22.00
506.00,12,37.00
605.00,1,48.00
605.00,2,31.00
605.00,3,32.00
605.00,5,16.00
605.00,7,86.00
605.00,8,21.00
605.00,9,49.00
605.00,10,2.00
605.00,11,14.00
605.00,12,40.00
606.00,1,48.00
606.00,2,6.00
606.00,3,47.00
606.00,4,110.00
606.00,5,63.00
606.00,7,242.00
606.00,8,17.00
606.00,9,39.00
606.00,10,8.00
606.00,11,65.00
606.00,12,47.00
705.00,1,24.00
705.00,2,71.00
705.00,3,63.00
705.00,4,24.00
705.00,7,133.00
705.00,8,72.00
705.00,9,161.00
705.00,11,6.00
