faz_id,sector_id,home_based_jobs
110,7,23
110,8,5
110,9,11
120,3,6
120,5,125
120,7,109
120,8,23
120,9,55
120,11,86
135,2,23
135,7,101
135,10,11
135,11,5
135,12,16
136,3,62
136,5,39
136,7,47
136,8,5
136,9,11
136,11,39
205,7,39
205,8,9
205,9,22
205,10,38
205,11,16
206,4,31
206,7,62
206,8,5
206,9,11
206,12,31
315,4,23
315,5,39
315,7,195
315,8,42
315,9,98
315,10,44
315,11,34
325,3,16
325,4,39
325,5,39
325,7,39
325,8,68
325,9,158
325,10,11
325,11,20
325,12,39
405,3,47
405,5,16
405,7,108
405,8,61
405,9,142
405,10,4
405,11,24
405,12,55
505,1,16
505,2,39
505,3,62
505,4,16
505,5,101
505,7,288
505,8,25
505,9,59
505,10,33
505,11,100
505,12,86
506,1,6
506,2,31
506,3,55
506,4,37
506,5,22
506,7,225
506,8,37
506,9,87
506,10,16
506,11,62
506,12,37
605,1,47
605,2,31
605,3,31
605,5,16
605,7,86
605,8,21
605,9,48
605,10,11
605,11,36
605,12,39
606,1,47
606,2,6
606,3,47
606,4,109
606,5,62
606,7,240
606,8,16
606,9,38
606,10,49
606,11,52
606,12,47
705,1,23
705,2,70
705,3,62
705,4,23
705,7,133
705,8,68
705,9,158
705,10,4
705,11,24
705,12,16
706,2,6
706,3,6
706,4,23
706,5,6
706,7,143
706,8,47
706,9,109
706,12,16
805,1,16
805,2,55
805,3,31
805,4,94
805,5,70
805,7,125
805,8,9
805,9,22
805,10,4
805,11,80
805,12,16
806,1,61
806,2,117
806,3,162
806,4,164
806,5,164
806,7,281
806,8,49
806,9,115
806,10,22
806,11,25
900,2,31
900,3,53
900,7,47
900,8,5
900,9,11
900,11,23
1000,1,12
1000,2,16
1000,3,31
1000,4,16
1000,5,16
1000,7,12
1000,8,7
1000,9,15
1000,10,48
1000,11,50
1000,12,16
1115,2,70
1115,3,23
1115,5,6
1115,7,86
1115,8,47
1115,9,109
1115,10,16
1115,11,19
1116,4,16
1116,7,226
1116,8,9
1116,9,22
1116,10,11
1116,11,83
1120,2,55
1120,3,55
1120,4,133
1120,5,148
1120,7,373
1120,8,47
1120,9,109
1120,10,16
1120,11,54
